ingredient_group,recipe,recipe_new,order,technique,url
arraina,Bakailaoa frijitua piper saltsa eta alioli gainerrea,bakailaoa_frijitua_piper_saltsa_eta_alioli_gainerrea,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoa_frijitua_piper_saltsa_eta_alioli_gainerrea
arraina,Bakailaoa pil-pil erara,bakailaoa_pil-pil_erara,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoa_pil-pil_erara
arraina,Bakailaoaren brandada,bakailaoaren_brandada,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoaren_brandada
arraina,Bakailo piper beteak,bakailao_piper_beteak,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailo_piper_beteak
arraina,Barbarin frijituak,barbarin_frijituak,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barbarin_frijituak
arraina,Berdela eskabetxean,berdela_eskabetxean,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Berdela_eskabetxean
arraina,Berdela labean piperradarekin,berdela_labean_piperradarekin,bigarren platerak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Berdela_labean_piperradarekin
arraina,Bisigua labean,bisigua_labean,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bisigua_labean
arraina,Bizkaitar saltsa,bizkaitar_saltsa,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bizkaitar_saltsa
arraina,Erreboiloa basmati arrozarekin eta lekekin,erreboiloa_basmati_arrozarekin_eta_lekekin,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Erreboiloa_basmati_arrozarekin_eta_lekekin
arraina,Ganbak baratxuritan,ganbak_baratxuritan,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_baratxuritan
arraina,Ganbak plantxan edo parrilan,ganbak_plantxan_edo_parrilan,,plantxan,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_plantxan_edo_parrilan
arraina,Ganbak plantxan edo zartaginean,ganbak_plantxan_edo_zartaginean,,plantxan,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_plantxan_edo_zartaginean
arraina,Hegalaburra papillote eran,hegalaburra_papillote_eran,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegalaburra_papillote_eran
arraina,Hegaluze edo arrain betegaia,hegaluze_edo_arrain_betegaia,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_arrain_betegaia
arraina,Hegaluze edo hegalabur salda,hegaluze_edo_hegalabur_salda,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalabur_salda
arraina,Hegaluze edo hegalaburra ontziratua,hegaluze_edo_hegalaburra_ontziratua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalaburra_ontziratua
arraina,Hegaluze edo hegalaburra tipularekin,hegaluze_edo_hegalaburra_tipularekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalaburra_tipularekin
arraina,Hegaluze edo hegalaburra tomatearekin,hegaluze_edo_hegalaburra_tomatearekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalaburra_tomatearekin
arraina,Hegaluze enpanada,hegaluze_enpanada,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_enpanada
arraina,Hegaluze enpanadilla,hegaluze_enpanadila,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_enpanadilla
arraina,"Hegaluze entsalada, otarrainxka eta piper gorriz eginiko tar-tarrarekin",hegaluze_entsalada_otarrainxka_eta_piper_gorriz_eginiko_tartarrarekin,lehen platerak,entsalada,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_entsalada,_otarrainxka_eta_piper_gorriz_eginiko_tar-tarrarekin"
arraina,Hegaluze eta Ibarrako piper pintxoa,hegaluze_eta_ibarrako_piper_pintxoa,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_eta_Ibarrako_piper_pintxoa
arraina,Hegaluze tartarra,hegaluze_tartarra,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_tartarra
arraina,"Hegaluze, ahuakate eta piper tartarra",hegaluze_ahuakate_eta_piper_tartarra,bigarren platerak,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze,_ahuakate_eta_piper_tartarra"
arraina,"Hegaluzea Asiako erara, udaberriko entsaladan",hegaluzea_asiako_erara_udaberriko_entsaladan,bigarren platerak,entsalada,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluzea_Asiako_erara,_udaberriko_entsaladan"
arraina,Hegaluzea tomate konpotarekin,hegaluzea_tomate_konpotarekin,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluzea_tomate_konpotarekin
arraina,Itsas zapoa,itsas_zapoa,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_zapoa
arraina,Itsas zapoa koxkera erara,itsas_zapoa_koxkera_erara,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_zapoa_koxkera_erara
arraina,Itsas zapoa saltsa berdean txirlekin,itsas_zapoa_saltsa_berdean_txirlekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_zapoa_saltsa_berdean_txirlekin
arraina,Itsaskiak sagardoarekin,itsaskiak_sagardoarekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsaskiak_sagardoarekin
arraina,Itsasoa eta sagardoa,itsasoa_eta_sagardoa,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsasoa_eta_sagardoa
arraina,Izokin kanape edo pintxoa,izokin_kanape_edo_pintxoa,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izokin_kanape_edo_pintxoa
arraina,Izokin kremaz beteriko tartaletak,izokin_kremaz_beteriko_tartaletak,,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izokin_kremaz_beteriko_tartaletak
arraina,Izokin marinatua,izokin_marinatua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izokin_marinatua
arraina,Kokotxak leka eta tomate konpotarekin,kokotxak_leka_eta_tomate_konpotarekin,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kokotxak_leka_eta_tomate_konpotarekin
arraina,Legatz arrautzaztatua,legatz_arrautzaztatua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_arrautzaztatua
arraina,Legatz betea,legatz_betea,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_betea
arraina,Legatz kokotea labean,legatz_kokotea_labean,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_kokotea_labean
arraina,Legatz kokotxak arrautzaztatuak,legatz_kokotxak_arrautzaztatuak,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_kokotxak_arrautzaztatuak
arraina,"Legatz xerrak plantxan, barazki eta baratxuri freskoekin",legatz_xerrak_plantxan_barazki_eta_baratxuri_freskoekin,bigarren platerak,plantxan,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_xerrak_plantxan,_barazki_eta_baratxuri_freskoekin"
arraina,"Legatza barazkiekin, papillote erara",legatza_barazkiekin_papillote_erara,bigarren platerak,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_barazkiekin,_papillote_erara"
arraina,Legatza kokotea,legatza_kokotea,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_kokotea
arraina,Legatza otarrainxka saldarekin eta txirlekin,legatza_otarrainxka_saldarekin_eta_txirlekin,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_otarrainxka_saldarekin_eta_txirlekin
arraina,"Legatza plantxan, barazkiekin",legatza_plantxan_barazkiekin,bigarren platerak,plantxan,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_plantxan,_barazkiekin"
arraina,"Legatza plantxan, kuia txikiarekin eta pipermorroekin",legatza_plantxan_kuia_txikiarekin_eta_pipermorroekin,bigarren platerak,plantxan,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_plantxan,_kuia_txikiarekin_eta_pipermorroekin"
arraina,Legatza saltsa berdean txirla eta kokotxekin,legatza_saltsa_berdean_txirla_eta_kokotxekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_saltsa_berdean_txirla_eta_kokotxekin
arraina,Lupia labean,lupia_labean,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Lupia_labean
arraina,"Lupia, sagardo eta itsaski lurrinekin",lupia_sagardo_eta_itsaski_lurrinekin,,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Lupia,_sagardo_eta_itsaski_lurrinekin"
arraina,Marmitakoa 2,marmitakoa2,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marmitakoa_2
arraina,Mendrezka errea,mendrezka_errea,,erre,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Mendrezka_errea
arraina,Perloi egosia patatekin,perloi_egosia_patatekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Perloi_egosia_patatekin
arraina,Tipula eta piper sueztitzea,tipula_eta_piper_sueztitzea,,sueztitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Tipula_eta_piper_sueztitzea
arraina,Ttoro zopa,ttoro_zopa,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ttoro_zopa
arraina,Txitxardin entsalada,txitxardin_entsalada,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txitxardin_entsalada
arraina,Txitxardinak betiko eran,txitxardinak_betiko_eran,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txitxardinak_betiko_eran
arraina,Txitxarroa eskabetxean,txitxarroa_eskabetxean,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txitxarroa_eskabetxean
arraina,Txitxarroa labean,txitxarroa_labean,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txitxarroa_labean
arraina,Txitxarroa piperrada eta patata purearekin,txitxarroa_piperrada_eta_patata_purearekin,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txitxarroa_piperrada_eta_patata_purearekin
arraina,"Txitxarroa plantxan piper erre, tipula eta gari zainzuriekin",txitxarroa_plantxan_piper_erre_tipula_eta_gari_zainzuriekin,bigarren platerak,plantxan,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Txitxarroa_plantxan_piper_erre,_tipula_eta_gari_zainzuriekin"
