recipe_new,ingredient_group,order,technique,url,origin
arroz_zopa,arroza,lehen platerak,zopak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_zopa,
arroz_zuri_egosia,arroza,lehen platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_zuri_egosia,
arroz_zuria_txirlekin,arroza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_zuria_txirlekin,bertakoa
arroza_abakandoarekin,"itsaskia, arroza",lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_abakandoarekin,bertakoa
arroza_barazkiekin,arroza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_barazkiekin,
arroza_japoniar_eran_egosia,arroza,lehen platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_japoniar_eran_egosia,
arroza_oilasko_eta_curryarekin,arroza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_oilasko_eta_curryarekin,asia
arroza_oilaskoarekin,arroza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_oilaskoarekin,
arroza_txibiekin,"itsaskia, arroza",lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_Txibiekin,bertakoa
arroza_txipiroiekin,"itsaskia, arroza, oliba olioa",lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_txipiroiekin,bertakoa
arrozezko_odolki_kruxpetak_piper_kremarekin,"haragia, arroza",lehen platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrozezko_odolki_kruxpetak_piper_kremarekin,bertakoa
arto_irin_tortilak,arrautza,bigarren platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arto_irin_tortillak,mexiko
askotariko_paella,arroza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Askotariko_paella,espainia
atun_mendrezka_plantxan_tomate_eta_otarrainxkekin,"arraina, oliba olioa",bigarren platerak,plantxan,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atun_mendrezka_plantxan_tomate_eta_otarrainxkekin,
atungorri_carpaccioa,arraina,lehen platerak,carpaccio,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atungorri_carpaccioa,
atungorri_sashimia,arraina,lehen platerak,hotza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atungorri_sashimia,asia
azenario_purea,barazkia,lehen platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Azenario_purea,
azpizuna_plantxan,haragia,bigarren platerak,plantxan,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Azpizuna_plantxan,
baba_egosia,lekaleak,lehen platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baba_egosia,
baba_zuriak,lekaleak,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Babarrun_zuriak,
babak_ilarrekin,lekaleak,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Babak_ilarrekin,
babak_urdaiazpikoarekin,lekaleak,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Babak_urdaiazpikoarekin,espainia
bakailao_brandada_piperrekin_eta_ziazerbekin,"arraina, oliba olioa",bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_brandada_piperrekin_eta_ziazerbekin,europa
bakailao_carpaccioa_ziza_eta_pinaziekin,"arraina, oliba olioa",lehen platerak,carpaccio,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_carpaccioa,_ziza_eta_pinaziekin",
bakailao_edo_legatz_kroketak,arraina,lehen platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_edo_legatz_kroketak,
bakailao_entsalada,arraina,lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_entsalada,
bakailao_eta_piper_erre_entsalada_epela,"arraina, oliba olioa",lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_eta_piper_erre_entsalada_epela,
bakailao_frijitua,arraina,bigarren platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_frijitua,
bakailao_kokotxak_gari_zainzuri_eta_piper_freskoekin,"arraina, oliba olioa",bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_kokotxak_gari_zainzuri_eta_piper_freskoekin,bertakoa
bakailao_kokotxak_saltsa_berdean,arraina,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_kokotxak_saltsa_berdean,bertakoa
bakailao_konfitatua_basmati_arrozarekin_eta_ziazerbekin,"barazkia, arroza, arraina, oliba olioa",bigarren platerak,konfitatu,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua,_basmati_arrozarekin_eta_ziazerbekin",asia
bakailao_konfitatua_piperrekin,arraina,bigarren platerak,konfitatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua_piperrekin,
bakailao_masailak_saltsa_berdean_patatekin,arraina,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_masailak_saltsa_berdean_patatekin,bertakoa
bakailao_nahaskia,arraina,lehen platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_nahaskia,
bakailao_piper_beteak,arraina,bigarren platerak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailo_piper_beteak,
bakailao_tortila,"arraina, arrautza",bigarren platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_tortilla,
bakailaoa_bizkaitar_erara,arraina,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoa_bizkaitar_erara,bertakoa
bakailaoa_frijitua_piper_saltsa_eta_alioli_gainerrea,arraina,bigarren platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoa_frijitua_piper_saltsa_eta_alioli_gainerrea,
bakailaoa_pil-pil_erara,arraina,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoa_pil-pil_erara,bertakoa
bakailaoaren_brandada,arraina,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoaren_brandada,europa
baratxuri_zopa2,arrautza,lehen platerak,zopak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baratxuri_zopa_2,bertakoa
baratxuri_zopa_bakailaoarekin,arrautza,lehen platerak,zopak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baratxuri_zopa_bakailaoarekin,bertakoa
barazki_betegaia,barazkia,lehen platerak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_betegaia,
barazki_budina,barazkia,lehen platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_budina,
barazki_estrudela,barazkia,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_estrudela,europa
barazki_eta_otarrainxka_risottoa,"barazkia, arroza, oliba olioa",lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_otarrainxka_risottoa,
barazki_eta_txekor_azpizun_erregosia,"barazkia, arrautza",bigarren platerak,erregosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_txekor_azpizun_erregosia,
barazki_eta_txipiroi_entsalada,"itsaskia, barazkia, oliba olioa",lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_txipiroi_entsalada,bertakoa
barazki_eta_txipiroi_risottoa,"itsaskia, barazkia, arroza, oliba olioa",lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_txipiroi_risotoa,bertakoa
barazki_eta_zapo_risottoa,"barazkia, arroza, oliba olioa",lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_zapo_risotoa,bertakoa
barazki_koka,barazkia,lehen platerak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_koka,espainia
barazki_krepeak,"oliba olioa, barazkia, arrautza",lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_krepeak,frantzia
barazki_lasagna,barazkia,lehen platerak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_lasagna,italia
barazki_menestra,barazkia,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_menestra,bertakoa
barazki_menestra2,"oliba olioa, barazkia, arrautza",lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_menestra_2,bertakoa
barazki_moussaka,barazkia,lehen platerak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_moussaka,europa
barazki_panatxea,barazkia,lehen platerak,marian,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_panatxea,frantzia
barazki_purea,barazkia,lehen platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_purea,
barazki_salda,barazkia,lehen platerak,zopak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_salda,
barazki_salteatua,barazkia,lehen platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_salteatua,
barazki_saltsa,barazkia,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_saltsa,
barazki_tortila,"barazkia, arrautza",lehen platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_tortilla,
