ingredient_group,recipe,order,technique,url
arraina,Bizkaitar saltsa,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bizkaitar_saltsa
arraina,Erreboiloa basmati arrozarekin eta lekekin,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Erreboiloa_basmati_arrozarekin_eta_lekekin
arraina,Ganbak baratxuritan,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_baratxuritan
arraina,Ganbak plantxan edo parrilan,,plantxan,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_plantxan_edo_parrilan
arraina,Ganbak plantxan edo zartaginean,,plantxan,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_plantxan_edo_zartaginean
arraina,Hegalaburra papillote eran,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegalaburra_papillote_eran
arraina,Hegaluze edo arrain betegaia,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_arrain_betegaia
arraina,Hegaluze edo hegalabur salda,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalabur_salda
arraina,Hegaluze edo hegalaburra ontziratua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalaburra_ontziratua
arraina,Hegaluze edo hegalaburra tipularekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalaburra_tipularekin
arraina,Hegaluze edo hegalaburra tomatearekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalaburra_tomatearekin
arraina,Hegaluze enpanada,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_enpanada
arraina,Hegaluze enpanadilla,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_enpanadilla
arraina,"Hegaluze entsalada, otarrainxka eta piper gorriz eginiko tar-tarrarekin",lehen platerak,entsalada,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_entsalada,_otarrainxka_eta_piper_gorriz_eginiko_tar-tarrarekin"
arraina,Hegaluze eta Ibarrako piper pintxoa,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_eta_Ibarrako_piper_pintxoa
arraina,Hegaluze tartarra,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_tartarra
arraina,"Hegaluze, ahuakate eta piper tartarra",bigarren platerak,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze,_ahuakate_eta_piper_tartarra"
arraina,"Hegaluzea Asiako erara, udaberriko entsaladan",bigarren platerak,entsalada,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluzea_Asiako_erara,_udaberriko_entsaladan"
arraina,Hegaluzea tomate konpotarekin,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluzea_tomate_konpotarekin
arraina,Itsas zapoa,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_zapoa
arraina,Itsas zapoa koxkera erara,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_zapoa_koxkera_erara
arraina,Itsas zapoa saltsa berdean txirlekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_zapoa_saltsa_berdean_txirlekin
arraina,Itsaskiak sagardoarekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsaskiak_sagardoarekin
