recipe,ingredient_group,order,technique,url,origin,ingredients
Arroz-osoa barazki salteatuekin,arroza,lehen platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_osoa_barazki_salteatuekin,,"arroz-osoa, barazki"
Arroz-osoa barazkiekin,arroza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_osoa_barazkiekin,,"arroz-osoa, barazki"
Arroz-zuria,arroza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_txuria,,arroz-zuria
Arroz zopa,arroza,lehen platerak,zopak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_zopa,,arro
Arroz-zuri egosia,arroza,lehen platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_zuri_egosia,,arroz-zuri
Arroz-zuria txirlekin,arroza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_zuria_txirlekin,bertakoa,"arroz-zuria, txirl"
Arroza abakandoarekin,"itsaskia, arroza",lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_abakandoarekin,bertakoa,abakandoa
Arroza barazkiekin,arroza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_barazkiekin,,barazki
Arroza japoniar eran egosia,arroza,lehen platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_japoniar_eran_egosia,,
Arroza oilasko eta curryarekin,arroza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_oilasko_eta_curryarekin,asia,"oilasko, currya"
Arroza oilaskoarekin,arroza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_oilaskoarekin,,oilaskoa
Arroza txibiekin,"itsaskia, arroza",lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_Txibiekin,bertakoa,txibi
Arroza txipiroiekin,"itsaskia, arroza, oliba olioa",lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_txipiroiekin,bertakoa,txipiroi
Arroz-odolki kruxpetak piper kremarekin,"haragia, arroza",lehen platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrozezko_odolki_kruxpetak_piper_kremarekin,bertakoa,"arroz-odolki, piper"
