recipe,ingredient,recipe_url,cleaned,order,technique
Bruselazak borraja eta urdaiazpikoarekin,"Barazkia, Haragia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bruselazak_borraja_eta_urdaiazpikoarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bruselazak_borraja_eta_urdaiazpikoarekin",Bruselaza borraja urdaiazpikoa,Lehen platerak,
Buia maionesarekin,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Buia_maionesarekin,Buia maionesa,,
Caprese entsalada,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Caprese_entsalada,Caprese entsalada,,Entsalada
Cesar entsalada,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Cesar_entsalada,Ces entsalada,,Entsalada
Eperrak saltsan,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Eperrak_saltsan,Eperra saltsan,Bigarren platerak,
Eperrak txokolate saltsan,Txokolatea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Eperrak_txokolate_saltsan,Eperra txokolate saltsan,,
Erreboiloa basmati arrozarekin eta lekekin,"Oliba olioa, Arroza, Barazkia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Erreboiloa_basmati_arrozarekin_eta_lekekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Erreboiloa_basmati_arrozarekin_eta_lekekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Erreboiloa_basmati_arrozarekin_eta_lekekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Erreboiloa_basmati_arrozarekin_eta_lekekin",Erreboiloa basmati arroza lekekin,Bigarren platerak,
Erremolatxa egosia,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Erremolatxa_egosia,Erremolatxa egosia,,
Etxeko bizkotxoa marrubiekin eta esne gainarekin,"Fruta, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Etxeko_bizkotxoa_marrubiekin_eta_esne_gainarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Etxeko_bizkotxoa_marrubiekin_eta_esne_gainarekin",Etxeko bizkotxoa marrubiekin esne gaina,Azkenburukoak,
Etxeko gailetak kremaz beteak,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Etxeko_gailetak_kremaz_beteak,Etxeko gaileta kremaz betea,Azkenburukoak,Kremak
Fideua barazki eta muskuiluekin,"Oliba olioa, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua_barazki_eta_muskuiluekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua_barazki_eta_muskuiluekin",Fideua barazki muskuiluekin,Lehen platerak,
Fideua barazki eta otarrainxkekin,"Oliba olioa, Pasta, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua,_barazki_eta_otarrainxkekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua,_barazki_eta_otarrainxkekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua,_barazki_eta_otarrainxkekin",Fideua barazki otarrainxkekin,,
Fideua otarrainxka eta barazkiekin,"Oliba olioa, Pasta, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua_otarrainxka_eta_barazkiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua_otarrainxka_eta_barazkiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua_otarrainxka_eta_barazkiekin",Fideua otarrainxka barazkiekin,Lehen platerak,
Fideua txibiekin,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua_txibiekin,Fideua txibiekin,,
Flamenka eran eginiko arrautzak,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Flamenka_eran_eginiko_arrautzak,Flamenka eginiko arrautza,,
Fouti arroza,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fouti_arroza,Fouti arroza,,
Frantziar lekak perretxiko eta otarrainxkekin,"Oliba olioa, Lekaleak, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Frantziar_lekak_perretxiko_eta_otarrainxkekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Frantziar_lekak_perretxiko_eta_otarrainxkekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Frantziar_lekak_perretxiko_eta_otarrainxkekin",Frantzi leka perretxiko otarrainxkekin,Lehen platerak,
Frijitzeko orea,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Frijitzeko_orea,Frijitzeko orea,,Frijitu
Fruta gelatina bainua,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fruta_gelatina_bainua,Fruta gelatina bainua,,
Fruta mazedonia,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fruta_mazedonia,Fruta mazedonia,,
Fruta moussea,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fruta_moussea,Fruta moussea,,
Gaileta tarta eta txokolate zurizko kremarekin,Txokolatea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gaileta-tarta_eta_txokolate_zurizko_kremarekin,Gaileta tarta txokolate zurizko krema,,
Galeper arrautza pintxoa,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Galeper_arrautza_pintxoa,Galeper arrautza pintxoa,,
Galeperra arrautza egosia,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Galeperra_arrautza_egosia,Galeperra arrautza egosia,,
Galiziar haragi enpanada,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Galiziar_haragi_enpanada,Galizi haragi enpanada,,
Ganbak baratxuritan,"Itsaskia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_baratxuritan, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_baratxuritan",Ganba baratxuritan,,
Ganbak plantxan edo parrilan,"Itsaskia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_plantxan_edo_parrilan, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_plantxan_edo_parrilan",Ganba plantxan parrilan,,Plantxan
Ganbak plantxan edo zartaginean,"Itsaskia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_plantxan_edo_zartaginean, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_plantxan_edo_zartaginean",Ganba plantxan zartaginean,,Plantxan
Ganbaz beteriko txipiroi frijitua,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbaz_beteriko_txipiroi_frijitua,Ganbaz beteriko txipiroi frijitua,,
Garaiko barazki burruntzia,"Oliba olioa, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Garaiko_barazki_burruntzia, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Garaiko_barazki_burruntzia",Garaiko barazki burruntzia,Lehen platerak,
Garaiko ilarrak patata ziazerba eta txirlekin,Lekaleak,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Garaiko_ilarrak,_patata,_ziazerba_eta_txirlekin",Garaiko ilarra patata ziazerba txirlekin,,
Garbantzuak tripakiekin,"Oliba olioa, Lekaleak","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Garbantzuak_tripakiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Garbantzuak_tripakiekin",Garbantzua tripakiekin,Lehen platerak,
Gari zainzuriak plantxan txipiroiekin,Oliba olioa,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gari_zainzuriak_plantxan,_txipiroiekin",Gari zainzuria plantxan txipiroiekin,,
Gazta eta urdai egosi frijituak,Esnekiak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_eta_urdai_egosi_frijituak,Gazta urdai egosi frijitua,,
Gazta izozkia,Esnekiak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_izozkia,Gazta izozkia,Azkenburukoak,Kremak
Gazta krema,Esnekiak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_krema,Gazta krema,,Kremak
Gazta kroketak,Esnekiak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_kroketak,Gazta kroketa,,
Gazta tarta labean,Esnekiak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_tarta_labean,Gazta tarta labean,Azkenburukoak,
Gazta tarta mugurdi mermeladarekin,Esnekiak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_tarta_mugurdi_mermeladarekin,Gazta tarta mugurdi mermelada,Azkenburukoak,
Gazta urdin kanape edo pintxoa,Esnekiak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_urdin_kanape_edo_pintxoa,Gazta urdin kanape pintxoa,,
Gazta urdin krema kanapea,Esnekiak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_urdin_krema_kanapea,Gazta urdin krema kanapea,,Kremak
Gaztaz beteriko ravioliak txanpiñoi eta txirla kremarekin,"Esnekiak, Pasta","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gaztaz_beteriko_ravioliak_txanpi%C3%B1oi_eta_txirla_kremarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gaztaz_beteriko_ravioliak_txanpi%C3%B1oi_eta_txirla_kremarekin",Gaztaz beteriko raviolia txanpiñoi txirla krema,Lehen platerak,Kremak
Gianduja krema,Txokolatea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gianduja_krema,Gianduja krema,Azkenburukoak,
Guakamole txalupa otarrainxkekin,"Oliba olioa, Fruta","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Guakamole_txalupa_otarrainxkekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Guakamole_txalupa_otarrainxkekin",Guakamole txalupa otarrainxkekin,Lehen platerak,
Guakamolea,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Guakamolea,Guakamolea,,
Guakamoleta,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Guakamoleta,Guakamoleta,,
Haragi betegaia,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_betegaia,Haragi betegaia,,
Haragi bolak barazki saltsan,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_bolak_barazki_saltsan,Haragi bola barazki saltsan,,
Haragi bolak tomate saltsan,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_bolak_tomate_saltsan,Haragi bola tomate saltsan,,
Haragi carpaccioa,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_carpaccioa,Haragi carpaccioa,,
Haragi egosiz eta txanpinoiz beteriko piperrak,"Oliba olioa, Haragia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_egosiz_eta_txanpinoiz_beteriko_piperrak, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_egosiz_eta_txanpinoiz_beteriko_piperrak",Haragi egosiz txanpinoiz beteriko piperra,Bigarren platerak,Egosi
Haragi enpanada,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_enpanada,Haragi enpanada,,
Haragi enpanadilla,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_enpanadilla,Haragi enpanadilla,,
Haragi gisatua,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_gisatua,Haragi gisatua,,
Haragi kaneloiak,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_kaneloiak,Haragi kaneloia,,
Haragi kroketak,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_kroketak,Haragi kroketa,,
Haragi lasagna,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_lasagna,Haragi lasagna,,
Haragi ragouta,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_ragouta,Haragi ragouta,,
Haragia tartar eran,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragia_tartar_eran,Haragia tart,,
Haragizko piper beteak,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragizko_piper_beteak,Haragizko piper betea,,
Hegalaburra papillote eran,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegalaburra_papillote_eran,Hegalaburra papillote,,
Hegaluze ahuakate eta piper tartarra,"Oliba olioa, Barazkia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze,_ahuakate_eta_piper_tartarra, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze,_ahuakate_eta_piper_tartarra, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze,_ahuakate_eta_piper_tartarra",Hegaluze ahuakate piper tartarra,,
Hegaluze edo arrain betegaia,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_arrain_betegaia,Hegaluze arrain betegaia,,
Hegaluze edo hegalabur salda,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalabur_salda,Hegaluze hegalabur salda,,
Hegaluze edo hegalaburra ontziratua,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalaburra_ontziratua,Hegaluze hegalaburra ontziratua,,
Hegaluze edo hegalaburra tipularekin,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalaburra_tipularekin,Hegaluze hegalaburra tipula,,
Hegaluze edo hegalaburra tomatearekin,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalaburra_tomatearekin,Hegaluze hegalaburra tomatea,,
Hegaluze enpanada,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_enpanada,Hegaluze enpanada,,
Hegaluze enpanadilla,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_enpanadilla,Hegaluze enpanadilla,,
Hegaluze entsalada otarrainxka eta piper gorriz eginiko tar tarrarekin,"Oliba olioa, Barazkia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_entsalada,_otarrainxka_eta_piper_gorriz_eginiko_tar-tarrarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_entsalada,_otarrainxka_eta_piper_gorriz_eginiko_tar-tarrarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_entsalada,_otarrainxka_eta_piper_gorriz_eginiko_tar-tarrarekin",Hegaluze entsalada otarrainxka piper gorriz eginiko t tarra,,
Hegaluze eta ibarrako piper pintxoa,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_eta_Ibarrako_piper_pintxoa,Hegaluze ibarrako piper pintxoa,,
Hegaluze tartarra,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_tartarra,Hegaluze tartarra,,
Hegaluzea asiako erara udaberriko entsaladan,"Oliba olioa, Barazkia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluzea_Asiako_erara,_udaberriko_entsaladan, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluzea_Asiako_erara,_udaberriko_entsaladan, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluzea_Asiako_erara,_udaberriko_entsaladan",Hegaluzea asiako udaberriko entsaladan,,
Hegaluzea tomate konpotarekin,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluzea_tomate_konpotarekin,Hegaluzea tomate konpota,Bigarren platerak,
Hiru gutiziko arroza,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hiru_gutiziko_arroza,Hiru gutiziko arroza,,
Hostopil koka,"Oliba olioa, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hostopil_koka, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hostopil_koka",Hostopil koka,Lehen platerak,
Hostopila odolki eta barazkiz beteta,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hostopila_odolki_eta_barazkiz_beteta,Hostopila odolki barazkiz beteta,Lehen platerak,
Hur eta txokolate opila,Txokolatea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hur_eta_txokolate_opila,Hur txokolate opila,Azkenburukoak,
Ilar budina,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ilar_budina,Il budina,,
Ilar egosia,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ilar_egosia,Il egosia,,
Ilar krema,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ilar_krema,Il krema,,Kremak
Ilarrak urdaiazpikoarekin,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ilarrak_urdaiazpikoarekin,Ilarra urdaiazpikoa,,
Irasagarra2,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Irasagarra_2,Irasagarra2,,
Itsas paella,"Oliba olioa, Itsaskia, Arroza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_paella, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_paella, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_paella",Itsas paella,Lehen platerak,
Itsas zapoa,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_zapoa,Itsas zapoa,,
Itsas zapoa koxkera erara,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_zapoa_koxkera_erara,Itsas zapoa koxkera,,
Itsas zapoa saltsa berdean txirlekin,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_zapoa_saltsa_berdean_txirlekin,Itsas zapoa saltsa berdean txirlekin,,
Itsaski krema,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsaski_krema,Itsaski krema,,Kremak
Itsaski paella,"Itsaskia, Arroza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsaski_paella, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsaski_paella",Itsaski paella,,
Itsaskiak sagardoarekin,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsaskiak_sagardoarekin,Itsaskia sagardoa,,
Itsasoa eta sagardoa,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsasoa_eta_sagardoa,Itsasoa sagardoa,,
Izkira egosiak,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izkira_egosiak,Izkira egosia,,
Izokin kanape edo pintxoa,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izokin_kanape_edo_pintxoa,Izokin kanape pintxoa,,
Izokin kremaz beteriko tartaletak,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izokin_kremaz_beteriko_tartaletak,Izokin kremaz beteriko tartaleta,,Kremak
Izokin marinatua,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izokin_marinatua,Izokin marinatua,,
Kafe budina,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kafe_budina,Kafe budina,,
Kalabazin txalupak otarrainxka eta ziazerbaz beteak,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kalabazin_txalupak_otarrainxka_eta_ziazerbaz_beteak,Kalabazin txalupa otarrainxka ziazerbaz betea,Lehen platerak,
Kardua urdaiazpiko eta arrautza eskalfatuarekin,"Barazkia, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kardua,_urdaiazpiko_eta_arrautza_eskalfatuarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kardua,_urdaiazpiko_eta_arrautza_eskalfatuarekin",Kardua urdaiazpiko arrautza eskalfatua,,
Kokotxak leka eta tomate konpotarekin,"Oliba olioa, Lekaleak, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kokotxak_leka_eta_tomate_konpotarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kokotxak_leka_eta_tomate_konpotarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kokotxak_leka_eta_tomate_konpotarekin",Kokotxa leka tomate konpota,Bigarren platerak,
Krema ingelesa,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Krema_ingelesa,Krema ingelesa,Azkenburukoak,Kremak
Krema opila,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Krema_opila,Krema opila,,
Kremaz beteriko krepeak,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kremaz_beteriko_krepeak,Kremaz beteriko krepea,Azkenburukoak,Kremak
Kuia krema otarrainxkekin,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kuia_krema_otarrainxkekin,Kuia krema otarrainxkekin,Lehen platerak,Kremak
Kuia tomate eta kantauriko antxoa lasagna,Oliba olioa,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kuia,_tomate_eta_Kantauriko_antxoa_lasagna",Kuia tomate kantauriko antxoa lasagna,,
Kuia txikiz eginiko milorria bakailaoz betea,Oliba olioa,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kuia_txikiz_eginiko_milorria,_bakailaoz_betea",Kuia txikiz eginiko milorria bakailaoz betea,,
Lanperna egosiak,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Lanperna_egosiak,Lanperna egosia,,
Legatz arrautzaztatua,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_arrautzaztatua,Legatz arrautzaztatua,,
Legatz betea,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_betea,Legatz betea,,
Legatz kokotea labean,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_kokotea_labean,Legatz kokotea labean,,
Legatz kokotxak arrautzaztatuak,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_kokotxak_arrautzaztatuak,Legatz kokotxa arrautzaztatua,,
Legatz xerrak plantxan barazki eta baratxuri freskoekin,"Barazkia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_xerrak_plantxan,_barazki_eta_baratxuri_freskoekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_xerrak_plantxan,_barazki_eta_baratxuri_freskoekin",Legatz xerra plantxan barazki baratxuri freskoekin,,
Legatza barazkiekin papillote erara,"Oliba olioa, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_barazkiekin,_papillote_erara, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_barazkiekin,_papillote_erara",Legatza barazkiekin papillote,,
Legatza kokotea,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_kokotea,Legatza kokotea,,
Legatza otarrainxka saldarekin eta txirlekin,"Oliba olioa, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_otarrainxka_saldarekin_eta_txirlekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_otarrainxka_saldarekin_eta_txirlekin",Legatza otarrainxka salda txirlekin,Bigarren platerak,
Legatza plantxan barazkiekin,"Oliba olioa, Barazkia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_plantxan,_barazkiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_plantxan,_barazkiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_plantxan,_barazkiekin",Legatza plantxan barazkiekin,,
Legatza plantxan kuia txikiarekin eta pipermorroekin,"Oliba olioa, Barazkia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_plantxan,_kuia_txikiarekin_eta_pipermorroekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_plantxan,_kuia_txikiarekin_eta_pipermorroekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_plantxan,_kuia_txikiarekin_eta_pipermorroekin",Legatza plantxan kuia txikia pipermorroekin,,
Legatza saltsa berdean txirla eta kokotxekin,"Itsaskia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_saltsa_berdean_txirla_eta_kokotxekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_saltsa_berdean_txirla_eta_kokotxekin",Legatza saltsa berdean txirla kokotxekin,,
Leka eta txanpiak otarrainxkekin,"Oliba olioa, Lekaleak, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Leka_eta_txanpiak_otarrainxkekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Leka_eta_txanpiak_otarrainxkekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Leka_eta_txanpiak_otarrainxkekin",Leka txanpia otarrainxkekin,Lehen platerak,
