Title,Ingredient,Order,Technique,Url
Arrautzarekin labean eginiko gazta tarta,['Arrautza'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautzarekin_labean_eginiko_gazta_tarta']
Arroz beltza,['Arroza'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_beltza']
Arroz entsalada,"['Arroza', 'Barazkia']",['Lehen platerak'],['Entsalada'],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_entsalada', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_entsalada']"
Arroz esnea,['Arroza'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_esnea']
Arroz esnea 2,"['Arroza', 'Esnekiak']",['Azkenburukoak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_esnea_2', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_esnea_2']"
Arroz hindua,['Arroza'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_hindua']
"Arroz odolkia, piper eta galeper arrautzekin","['Arrautza', 'Arroza', 'Haragia']",['Lehen platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_odolkia,_piper_eta_galeper_arrautzekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_odolkia,_piper_eta_galeper_arrautzekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_odolkia,_piper_eta_galeper_arrautzekin']"
Arroz osoa barazki salteatuekin,['Arroza'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_osoa_barazki_salteatuekin']
Arroz osoa barazkiekin,['Arroza'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_osoa_barazkiekin']
Arroz txuria,['Arroza'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_txuria']
Arroz zopa,['Arroza'],['Lehen platerak'],['Zopak'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_zopa']
Arroz zuri egosia,['Arroza'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_zuri_egosia']
Arroz zuria txirlekin,['Arroza'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_zuria_txirlekin']
Arroz-odolki kruxpetak,['Arroza'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz-odolki_kruxpetak']
Arroza Txibiekin,"['Arroza', 'Itsaskia']",['Bigarren platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_Txibiekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_Txibiekin']"
Arroza Txipiroiekin,"['Arroza', 'Itsaskia']",['Bigarren platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_Txipiroiekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_Txipiroiekin']"
Arroza abakandoarekin,"['Arroza', 'Itsaskia']",['Bigarren platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_abakandoarekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_abakandoarekin']"
Arroza barazkiekin,['Arroza'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_barazkiekin']
