Title,Ingredient,Order,Technique,Url
Berdela eskabetxean,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Berdela_eskabetxean']
Berdela labean piperradarekin,['Arraina'],['Bigarren platerak'],['Labekatu'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Berdela_labean_piperradarekin']
Bexamelaz eginiko haragi betegaia,['Haragia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bexamelaz_eginiko_haragi_betegaia']
Bijiliako Txitxirioak,['Lekaleak'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bijiliako_Txitxirioak']
Biribilkia saltsan,['Haragia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Biribilkia_saltsan']
Bisigua labean,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bisigua_labean']
Bizkaitar saltsa,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bizkaitar_saltsa']
Bruselazak borraja eta urdaiazpikoarekin,"['Barazkia', 'Haragia']",['Lehen platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bruselazak_borraja_eta_urdaiazpikoarekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bruselazak_borraja_eta_urdaiazpikoarekin']"
Buia maionesarekin,['Itsaskia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Buia_maionesarekin']
Caprese entsalada,['Barazkia'],['Lehen platerak'],['Entsalada'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Caprese_entsalada']
Cesar entsalada,['Barazkia'],['Lehen platerak'],['Entsalada'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Cesar_entsalada']
Eperrak saltsan,['Oliba olioa'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Eperrak_saltsan']
Eperrak txokolate saltsan,['Txokolatea'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Eperrak_txokolate_saltsan']
Erreboiloa basmati arrozarekin eta lekekin,"['Arraina', 'Arroza', 'Barazkia', 'Oliba olioa']",['Bigarren platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Erreboiloa_basmati_arrozarekin_eta_lekekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Erreboiloa_basmati_arrozarekin_eta_lekekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Erreboiloa_basmati_arrozarekin_eta_lekekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Erreboiloa_basmati_arrozarekin_eta_lekekin']"
Erremolatxa egosia,['Barazkia'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Erremolatxa_egosia']
Esne frijitua,['Esnekiak'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Esne_frijitua']
Esne frijituak,"['Arrautza', 'Esnekiak']",['Azkenburukoak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Esne_frijituak', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Esne_frijituak']"
Etxeko bizkotxoa marrubiekin eta esne gainarekin,"['Arrautza', 'Fruta']",['Azkenburukoak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Etxeko_bizkotxoa_marrubiekin_eta_esne_gainarekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Etxeko_bizkotxoa_marrubiekin_eta_esne_gainarekin']"
Etxeko gailetak kremaz beteak,['Arrautza'],['Azkenburukoak'],['Kremak'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Etxeko_gailetak_kremaz_beteak']
Fideua barazki eta muskuiluekin,"['Barazkia', 'Oliba olioa']",['Lehen platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua_barazki_eta_muskuiluekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua_barazki_eta_muskuiluekin']"
Fideua otarrainxka eta barazkiekin,"['Barazkia', 'Oliba olioa', 'Pasta']",['Lehen platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua_otarrainxka_eta_barazkiekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua_otarrainxka_eta_barazkiekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua_otarrainxka_eta_barazkiekin']"
Fideua txibiekin,['Itsaskia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua_txibiekin']
"Fideua, barazki eta otarrainxkekin","['Barazkia', 'Oliba olioa', 'Pasta']",['Lehen platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua,_barazki_eta_otarrainxkekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua,_barazki_eta_otarrainxkekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua,_barazki_eta_otarrainxkekin']"
Flamenka eran eginiko arrautzak,['Arrautza'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Flamenka_eran_eginiko_arrautzak']
Fouti arroza,['Arroza'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fouti_arroza']
Frantziar lekak perretxiko eta otarrainxkekin,"['Barazkia', 'Lekaleak', 'Oliba olioa']",['Lehen platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Frantziar_lekak_perretxiko_eta_otarrainxkekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Frantziar_lekak_perretxiko_eta_otarrainxkekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Frantziar_lekak_perretxiko_eta_otarrainxkekin']"
Frijitzeko orea,['Barazkia'],['Lehen platerak'],['Frijitu'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Frijitzeko_orea']
Fruta gelatina bainua,['Fruta'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fruta_gelatina_bainua']
Fruta mazedonia,['Fruta'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fruta_mazedonia']
Fruta moussea,['Fruta'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fruta_moussea']
Gaileta-tarta eta txokolate zurizko kremarekin,['Txokolatea'],['Azkenburukoak'],['Kremak'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gaileta-tarta_eta_txokolate_zurizko_kremarekin']
Galeper arrautza pintxoa,['Arrautza'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Galeper_arrautza_pintxoa']
Galeperra arrautza egosia,['Arrautza'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Galeperra_arrautza_egosia']
Galiziar haragi enpanada,['Haragia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Galiziar_haragi_enpanada']
Ganbak baratxuritan,"['Arraina', 'Itsaskia']",['Bigarren platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_baratxuritan', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_baratxuritan']"
Ganbak plantxan edo parrilan,"['Arraina', 'Itsaskia']",['Bigarren platerak'],['Plantxan'],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_plantxan_edo_parrilan', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_plantxan_edo_parrilan']"
Ganbak plantxan edo zartaginean,"['Arraina', 'Itsaskia']",['Bigarren platerak'],['Plantxan'],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_plantxan_edo_zartaginean', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_plantxan_edo_zartaginean']"
Ganbaz beteriko txipiroi frijitua,['Itsaskia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbaz_beteriko_txipiroi_frijitua']
Garaiko barazki burruntzia,"['Barazkia', 'Oliba olioa']",['Lehen platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Garaiko_barazki_burruntzia', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Garaiko_barazki_burruntzia']"
"Garaiko ilarrak, patata, ziazerba eta txirlekin",['Lekaleak'],['Bigarren platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Garaiko_ilarrak,_patata,_ziazerba_eta_txirlekin']"
Garbantzuak tripakiekin,"['Lekaleak', 'Oliba olioa']",['Lehen platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Garbantzuak_tripakiekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Garbantzuak_tripakiekin']"
"Gari zainzuriak plantxan, txipiroiekin",['Oliba olioa'],['Lehen platerak'],['Plantxan'],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gari_zainzuriak_plantxan,_txipiroiekin']"
Gazta eta urdai egosi frijituak,['Esnekiak'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_eta_urdai_egosi_frijituak']
Gazta izozkia,['Esnekiak'],['Azkenburukoak'],['Kremak'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_izozkia']
Gazta krema,['Esnekiak'],['Azkenburukoak'],['Kremak'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_krema']
Gazta kroketak,['Esnekiak'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_kroketak']
Gazta tarta labean,['Esnekiak'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_tarta_labean']
Gazta tarta mugurdi mermeladarekin,['Esnekiak'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_tarta_mugurdi_mermeladarekin']
Gazta urdin kanape edo pintxoa,['Esnekiak'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_urdin_kanape_edo_pintxoa']
Gazta urdin krema kanapea,['Esnekiak'],['Azkenburukoak'],['Kremak'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_urdin_krema_kanapea']
Gaztaz beteriko ravioliak txanpiñoi eta txirla kremarekin,"['Esnekiak', 'Pasta']",['Lehen platerak'],['Kremak'],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gaztaz_beteriko_ravioliak_txanpi%C3%B1oi_eta_txirla_kremarekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gaztaz_beteriko_ravioliak_txanpi%C3%B1oi_eta_txirla_kremarekin']"
Gianduja krema,['Txokolatea'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gianduja_krema']
Guakamole txalupa otarrainxkekin,"['Fruta', 'Oliba olioa']",['Lehen platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Guakamole_txalupa_otarrainxkekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Guakamole_txalupa_otarrainxkekin']"
Guakamolea,['Fruta'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Guakamolea']
Guakamoleta,['Fruta'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Guakamoleta']
Haragi betegaia,['Haragia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_betegaia']
Haragi bolak barazki saltsan,['Haragia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_bolak_barazki_saltsan']
Haragi bolak tomate saltsan,['Haragia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_bolak_tomate_saltsan']
Haragi carpaccioa,['Haragia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_carpaccioa']
Haragi egosiz eta txanpinoiz beteriko piperrak,"['Haragia', 'Oliba olioa']",['Bigarren platerak'],['Egosi'],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_egosiz_eta_txanpinoiz_beteriko_piperrak', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_egosiz_eta_txanpinoiz_beteriko_piperrak']"
Haragi enpanada,['Haragia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_enpanada']
Haragi enpanadilla,['Haragia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_enpanadilla']
Haragi gisatua,['Haragia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_gisatua']
Haragi kaneloiak,['Haragia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_kaneloiak']
Haragi kroketak,['Haragia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_kroketak']
Haragi lasagna,['Haragia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_lasagna']
Haragi ragouta,['Haragia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_ragouta']
Haragia tartar eran,['Haragia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragia_tartar_eran']
Haragizko piper beteak,['Haragia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragizko_piper_beteak']
Hegalaburra papillote eran,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegalaburra_papillote_eran']
Hegaluze edo arrain betegaia,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_arrain_betegaia']
Hegaluze edo hegalabur salda,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalabur_salda']
Hegaluze edo hegalaburra ontziratua,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalaburra_ontziratua']
Hegaluze edo hegalaburra tipularekin,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalaburra_tipularekin']
Hegaluze edo hegalaburra tomatearekin,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalaburra_tomatearekin']
Hegaluze enpanada,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_enpanada']
Hegaluze enpanadilla,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_enpanadilla']
"Hegaluze entsalada, otarrainxka eta piper gorriz eginiko tar-tarrarekin","['Arraina', 'Barazkia', 'Oliba olioa']",['Lehen platerak'],['Entsalada'],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_entsalada,_otarrainxka_eta_piper_gorriz_eginiko_tar-tarrarekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_entsalada,_otarrainxka_eta_piper_gorriz_eginiko_tar-tarrarekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_entsalada,_otarrainxka_eta_piper_gorriz_eginiko_tar-tarrarekin']"
Hegaluze eta Ibarrako piper pintxoa,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_eta_Ibarrako_piper_pintxoa']
Hegaluze tartarra,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_tartarra']
"Hegaluze, ahuakate eta piper tartarra","['Arraina', 'Barazkia', 'Oliba olioa']",['Bigarren platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze,_ahuakate_eta_piper_tartarra', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze,_ahuakate_eta_piper_tartarra', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze,_ahuakate_eta_piper_tartarra']"
"Hegaluzea Asiako erara, udaberriko entsaladan","['Arraina', 'Barazkia', 'Oliba olioa']",['Bigarren platerak'],['Entsalada'],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluzea_Asiako_erara,_udaberriko_entsaladan', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluzea_Asiako_erara,_udaberriko_entsaladan', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluzea_Asiako_erara,_udaberriko_entsaladan']"
Hegaluzea tomate konpotarekin,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluzea_tomate_konpotarekin']
Hiru gutiziko arroza,['Arroza'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hiru_gutiziko_arroza']
Hostopil koka,"['Barazkia', 'Oliba olioa']",['Lehen platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hostopil_koka', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hostopil_koka']"
Hostopila odolki eta barazkiz beteta,['Barazkia'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hostopila_odolki_eta_barazkiz_beteta']
Hur eta txokolate opila,['Txokolatea'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hur_eta_txokolate_opila']
Ilar budina,['Lekaleak'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ilar_budina']
Ilar egosia,['Lekaleak'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ilar_egosia']
Ilar krema,['Lekaleak'],['Lehen platerak'],['Kremak'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ilar_krema']
Ilarrak urdaiazpikoarekin,['Lekaleak'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ilarrak_urdaiazpikoarekin']
Irasagarra 2,['Fruta'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Irasagarra_2']
Itsas paella,"['Arroza', 'Itsaskia', 'Oliba olioa']",['Lehen platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_paella', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_paella', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_paella']"
Itsas zapoa,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_zapoa']
Itsas zapoa koxkera erara,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_zapoa_koxkera_erara']
Itsas zapoa saltsa berdean txirlekin,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_zapoa_saltsa_berdean_txirlekin']
Itsaski krema,['Itsaskia'],['Bigarren platerak'],['Kremak'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsaski_krema']
Itsaski paella,"['Arroza', 'Itsaskia']",['Bigarren platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsaski_paella', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsaski_paella']"
Itsaskiak sagardoarekin,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsaskiak_sagardoarekin']
Itsasoa eta sagardoa,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsasoa_eta_sagardoa']
Izkira egosiak,['Itsaskia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izkira_egosiak']
Izokin kanape edo pintxoa,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izokin_kanape_edo_pintxoa']
Izokin kremaz beteriko tartaletak,['Arraina'],['Bigarren platerak'],['Kremak'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izokin_kremaz_beteriko_tartaletak']
Izokin marinatua,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izokin_marinatua']
Kafe budina,['Arrautza'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kafe_budina']
Kalabazin txalupak otarrainxka eta ziazerbaz beteak,['Oliba olioa'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kalabazin_txalupak_otarrainxka_eta_ziazerbaz_beteak']
"Kardua, urdaiazpiko eta arrautza eskalfatuarekin","['Arrautza', 'Barazkia']",['Lehen platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kardua,_urdaiazpiko_eta_arrautza_eskalfatuarekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kardua,_urdaiazpiko_eta_arrautza_eskalfatuarekin']"
Kokotxak leka eta tomate konpotarekin,"['Arraina', 'Lekaleak', 'Oliba olioa']",['Bigarren platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kokotxak_leka_eta_tomate_konpotarekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kokotxak_leka_eta_tomate_konpotarekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kokotxak_leka_eta_tomate_konpotarekin']"
Krema ingelesa,['Arrautza'],['Azkenburukoak'],['Kremak'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Krema_ingelesa']
Krema opila,['Arrautza'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Krema_opila']
Kremaz beteriko krepeak,['Arrautza'],['Azkenburukoak'],['Kremak'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kremaz_beteriko_krepeak']
Kuia krema otarrainxkekin,['Oliba olioa'],['Lehen platerak'],['Kremak'],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kuia_krema_otarrainxkekin']
"Kuia txikiz eginiko milorria, bakailaoz betea",['Oliba olioa'],['Lehen platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kuia_txikiz_eginiko_milorria,_bakailaoz_betea']"
"Kuia, tomate eta Kantauriko antxoa lasagna",['Oliba olioa'],['Lehen platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kuia,_tomate_eta_Kantauriko_antxoa_lasagna']"
Lanperna egosiak,['Itsaskia'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Lanperna_egosiak']
Legatz arrautzaztatua,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_arrautzaztatua']
Legatz betea,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_betea']
Legatz kokotea labean,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_kokotea_labean']
Legatz kokotxak arrautzaztatuak,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_kokotxak_arrautzaztatuak']
"Legatz xerrak plantxan, barazki eta baratxuri freskoekin","['Arraina', 'Barazkia']",['Bigarren platerak'],['Plantxan'],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_xerrak_plantxan,_barazki_eta_baratxuri_freskoekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_xerrak_plantxan,_barazki_eta_baratxuri_freskoekin']"
"Legatza barazkiekin, papillote erara","['Arraina', 'Oliba olioa']",['Bigarren platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_barazkiekin,_papillote_erara', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_barazkiekin,_papillote_erara']"
Legatza kokotea,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_kokotea']
Legatza otarrainxka saldarekin eta txirlekin,"['Arraina', 'Oliba olioa']",['Bigarren platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_otarrainxka_saldarekin_eta_txirlekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_otarrainxka_saldarekin_eta_txirlekin']"
