recipe,ingredient,recipe_url,cleaned,order,technique,origin
Arrautzak kardu eta kutixiekin,"Oliba olioa, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautzak_kardu_eta_kutixiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautzak_kardu_eta_kutixiekin",Arrautza kardu kutixiekin,Bigarren platerak,,
Arrautzarekin labean eginiko gazta tarta,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautzarekin_labean_eginiko_gazta_tarta,Arrautza labean eginiko gazta tarta,Azkenburukoak,Labekatu,
Arroz beltza,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_beltza,Arroz beltza,Lehen platerak,,
Arroz entsalada,"Arroza, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_entsalada, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_entsalada",Arroz entsalada,Lehen platerak,Entsalada,
Arroz esnea,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_esnea,Arroz esnea,Azkenburukoak,,
Arroz esnea2,"Esnekiak, Arroza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_esnea_2, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_esnea_2",Arroz esnea2,Lehen platerak,,
Arroz hindua,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_hindua,Arroz hindua,Lehen platerak,,Asia
Arroz odolki kruxpetak,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz-odolki_kruxpetak,Arroz odolki kruxpeta,Lehen platerak,,Bertakoa
Arroz odolkia piper eta galeper arrautzekin,"Arroza, Haragia, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_odolkia,_piper_eta_galeper_arrautzekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_odolkia,_piper_eta_galeper_arrautzekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_odolkia,_piper_eta_galeper_arrautzekin",Arroz odolkia piper galeper arrautzekin,Lehen platerak,,Bertakoa
Arroz osoa barazki salteatuekin,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_osoa_barazki_salteatuekin,Arroz osoa barazki salteatuekin,Lehen platerak,Frijitu,
Arroz osoa barazkiekin,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_osoa_barazkiekin,Arroz osoa barazkiekin,Lehen platerak,,
Arroz txuria,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_txuria,Arroz txuria,Lehen platerak,,
Arroz zopa,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_zopa,Arroz zopa,Lehen platerak,Zopak,
Arroz zuri egosia,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_zuri_egosia,Arroz zuri egosia,Lehen platerak,Egosi,
